,time,output,current
0,10457.35849669785,3.2448568,1.7026379
1,10487.35849812278,3.3072233,1.702835
2,10517.3584995477,3.3520579,1.7034261
3,10547.35850097262,3.3872795,1.7022438
4,10577.35850239755,3.4156458,1.7026379
5,10607.35850382247,3.4395998,1.7016525
6,10637.35850524739,3.4596138,1.7022438
7,10667.35850667232,3.4759245,1.7034261
8,10697.35850809724,3.4896743,1.702835
9,10727.35850952216,3.4994056,1.7036232
10,10757.35851094709,3.5057092,1.7018496
11,10787.35851237201,3.5098853,1.7010614
12,10817.35851379693,3.5130372,1.7050026
13,10847.35851522186,3.5160708,1.7040173
14,10877.35851664678,3.5188286,1.7036232
15,10907.35851807171,3.5219016,1.7034261
16,10937.35851949663,3.5252111,1.7044115
17,10967.35852092155,3.5287962,1.7024408
18,10997.35852234648,3.5322239,1.7030321
19,11027.3585237714,3.5356514,1.702835
20,11057.35852519632,3.5390396,1.7020465999999999
21,11087.35852662125,3.5423095,1.7022438
22,11117.35852804617,3.5457373,1.7026379
23,11147.35852947109,3.5491648,1.7030321
24,11177.35853089602,3.5526712,1.7024408
25,11207.35853232094,3.5559413,1.7036232
26,11237.35853374586,3.5596447,1.7008644
27,11267.35853517079,3.5629539,1.7034261
28,11297.35853659571,3.566421,1.7048055
29,11327.35853802064,3.570085,1.7030321
30,11357.35853944556,3.5739853,1.7030321
31,11387.35854087048,3.5773342,1.702835
32,11417.35854229541,3.5809982,1.7030321
33,11447.35854372033,3.5846229,1.7026379
34,11477.35854514525,3.588011,1.7038202
35,11507.35854657018,3.5919509,1.7040173
36,11537.3585479951,3.5958512,1.7030321
37,11567.35854942002,3.5998304,1.7024408
38,11597.35855084495,3.6037307,1.7048055
39,11627.35855226987,3.607631,1.7044115
40,11657.35855369479,3.6117678,1.7026379
41,11687.35855511972,3.6158652,1.7042144000000001
42,11717.35855654464,3.620002,1.7030321
43,11747.35855796956,3.6239023,1.7044115
44,11777.35855939449,3.6279602,1.7022438
45,11807.35856081941,3.6320577,1.7014554
46,11837.35856224434,3.6357217,1.7036232
47,11867.35856366926,3.6393068,1.7026379
48,11897.35856509418,3.6428132,1.7026379
49,11927.35856651911,3.6460438,1.7042144000000001
50,11957.35856794403,3.6495109,1.7038202
51,11987.35856936895,3.6523082,1.7026379
